## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics INPUT=MUX4111-WHH1754.bam OUTPUT=MUX4111-WHH1754.wgs_metrics.txt REFERENCE_SEQUENCE=Homo_sapiens_assembly38.fasta    MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 COVERAGE_CAP=250 LOCUS_ACCUMULATION_CAP=100000 STOP_AFTER=-1 INCLUDE_BQ_HISTOGRAM=false COUNT_UNPAIRED=false SAMPLE_SIZE=10000 ALLELE_FRACTION=[0.001, 0.005, 0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.5] USE_FAST_ALGORITHM=false READ_LENGTH=150 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 06 19:00:36 UTC 2020

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q
3043453562	12.00191	6.140863	12	3	0.000002	0.07527	0.137668	0.001232	0.063845	0.010469	0.005929	0.294415	0.92263	0.899298	0.734299	0.320702	0.057789	0.00645	0.002106	0.001135	0.00074	0.00051	0.000367	0.00028	0.000226	0.000193	0.897102	10

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	235473266
1	14505296
2	13109973
3	17283084
4	26109300
5	40866432
6	63098903
7	93529595
8	131352250
9	173321410
10	214071615
11	247365640
12	267469579
13	271245031
14	258609643
15	232592363
16	197667168
17	159188101
18	121845035
19	88870937
20	61957269
21	41381053
22	26560417
23	16455024
24	9895660
25	5823735
26	3391349
27	1999656
28	1216532
29	788672
30	559706
31	431158
32	354744
33	306396
34	271322
35	245481
36	223038
37	205011
38	187782
39	172091
40	159260
41	147771
42	137728
43	128704
44	120877
45	113671
46	106815
47	101139
48	94998
49	90291
50	86108
51	81840
52	77886
53	73770
54	70398
55	67389
56	64768
57	61268
58	59482
59	56863
60	54230
61	51692
62	48898
63	46571
64	44069
65	41677
66	39991
67	38079
68	35961
69	34522
70	33063
71	31340
72	29669
73	28463
74	26427
75	25162
76	23926
77	22816
78	22003
79	20920
80	20177
81	19226
82	18460
83	17695
84	16691
85	15869
86	14877
87	14148
88	13558
89	12725
90	12395
91	11933
92	11559
93	10782
94	10269
95	9821
96	9576
97	8871
98	8709
99	8391
100	8160
101	7706
102	7455
103	7306
104	7021
105	6677
106	6438
107	6380
108	6110
109	5820
110	5503
111	5437
112	5392
113	5179
114	5054
115	4999
116	4912
117	4703
118	4648
119	4506
120	4330
121	4089
122	4203
123	3947
124	3972
125	3822
126	3937
127	3740
128	3602
129	3617
130	3510
131	3371
132	3371
133	3268
134	3157
135	3122
136	3064
137	3059
138	2952
139	2829
140	2765
141	2637
142	2630
143	2647
144	2449
145	2522
146	2431
147	2341
148	2368
149	2324
150	2307
151	2218
152	2250
153	2260
154	2142
155	2270
156	2156
157	2119
158	2123
159	2027
160	1979
161	1976
162	2005
163	1947
164	1965
165	1793
166	1853
167	1850
168	1882
169	1780
170	1777
171	1781
172	1664
173	1649
174	1601
175	1629
176	1617
177	1542
178	1535
179	1523
180	1463
181	1451
182	1430
183	1460
184	1413
185	1395
186	1310
187	1324
188	1279
189	1358
190	1384
191	1317
192	1270
193	1247
194	1268
195	1165
196	1175
197	1123
198	1136
199	1070
200	1053
201	1035
202	1053
203	1085
204	1109
205	1072
206	1109
207	1060
208	1088
209	1047
210	995
211	1037
212	988
213	1087
214	978
215	975
216	914
217	983
218	919
219	880
220	935
221	899
222	910
223	926
224	867
225	843
226	865
227	790
228	819
229	899
230	847
231	876
232	808
233	836
234	853
235	808
236	786
237	818
238	795
239	803
240	810
241	798
242	803
243	831
244	777
245	819
246	764
247	739
248	744
249	723
250	242610

